,0
0,-5.365772525903194
1,-4.7673776966572845
2,-3.498777570376809
3,-4.61179570999483
4,-3.903948909427593
5,-3.6394151830120043
6,-4.742819989808947
7,-4.071121448785062
8,-4.042024375988459
9,-5.013389958028546
10,-4.671938470220109
11,-3.3151153755946137
12,-3.7237546154042103
13,-4.757884767501712
14,-2.6036673454233714
15,-3.8141110548144246
16,-4.093878098790987
17,-3.6504743315137453
18,-4.941137181414444
19,-3.8918612942485815
20,-4.006713840552124
21,-5.0229635686600425
22,-4.4335361624552485
23,-3.9881540016062336
24,-3.4334370153386073
25,-2.62863016828054
26,-4.006029460609903
27,-3.9976413159771775
28,-3.895019635995239
29,-3.646855264537278
30,-4.247381685920622
31,-3.974756067511202
32,-4.2248126286301
33,-3.497952676588972
34,-4.299474528230503
35,-5.577548744548093
36,-4.1597627739870005
37,-2.9465411806848025
38,-2.878464428961251
39,-3.025104208161963
40,-3.991735259346207
41,-4.386632233018023
42,-2.904640954370675
43,-4.606591137616405
44,-4.314842356457241
45,-3.544472271932789
46,-4.7938871999695705
47,-4.073409075852528
48,-3.502910283992967
49,-5.44053148453883
50,-3.6373661556094294
51,-3.6468645253374494
52,-3.601220045900609
53,-3.904503932238873
54,-3.4569734434034336
55,-4.0225156678824385
56,-4.147481069695134
57,-4.440606749866605
58,-4.676924583764393
59,-3.009736048020165
60,-3.405259726566454
61,-1.170298529385859
62,-3.3833736734649666
63,-3.5354846563920503
64,-3.110704763962803
65,-4.084689962414476
66,-4.319287725177633
67,-4.515664005315378
68,-4.484147337114838
69,-3.610331027475053
70,-3.327080636997289
71,-4.776770589974087
72,-4.146486164628007
73,-3.386690457357722
74,-3.9527938601476382
75,-4.536502901214837
76,-3.6238951191613014
77,-4.0316248845788145
78,-5.0843576886181445
79,-3.3566948988660825
80,-2.9040001118511065
81,-2.8807818452808167
82,-3.084707008201013
83,-4.286926484433309
84,-4.571675077587178
85,-3.9145495513910493
86,-4.060725317425129
87,-3.758694918601565
88,-4.508709738270007
89,-4.520966897876947
90,-3.5705252573514343
91,-4.43706474002728
92,-4.425179959866996
93,-5.172994284306535
94,-3.409618010947254
95,-5.146756573050348
96,-3.9369221294803878
97,-5.210147117971577
98,-4.464095164472961
99,-3.4981967563326952
100,-4.797912209700848
101,-4.4544663558359705
102,-4.763458877825948
103,-4.541637023848416
104,-4.037135820982146
105,-3.906705488159978
106,-4.564657736351353
107,-3.476662770752794
108,-4.344391280021777
109,-3.556576776047989
110,-4.079437324122827
111,-3.0158354270912553
112,-4.737930279987512
113,-5.591829496421074
114,-4.693137450858817
115,-4.362110904711123
116,-3.424799531870154
117,-4.571010255886929
118,-4.0531327284423995
119,-5.376452740944508
120,-4.622984531485024
121,-4.099550718603458
122,-4.943416470452621
123,-3.8610421541162
124,-4.072939822514151
125,-4.031059853711762
126,-4.122192250310472
127,-2.786404748446302
128,-4.456152553142366
129,-3.8356304049499723
130,-4.084833912583354
131,-4.338819323639866
132,-2.7706929015913437
133,-4.421016970540044
134,-3.855407182443207
135,-4.661056900133429
136,-3.950086082568607
137,-2.396834857773925
138,-4.067112595482505
139,-5.950338392485714
140,-3.50078908459221
141,-4.356538290650041
142,-4.106875630033895
143,-4.428759241132077
144,-3.9325203731650618
145,-5.828193005412698
146,-4.239119653608225
147,-4.589423274082349
148,-4.285442396335158
149,-3.3075586220821176
150,-4.385542383072818
151,-2.8194949928410113
152,-4.918425331031973
153,-4.2912735352869475
154,-3.888270989105174
155,-3.6138396069513794
156,-3.7313689682602122
157,-5.464540728159969
158,-3.795139914914753
159,-2.8855949487082992
160,-3.8613453818567223
161,-3.843866903767433
162,-3.224251858093716
163,-3.780956607334671
164,-2.7415996779284093
165,-3.1886197809231493
166,-5.082724222151812
167,-3.2092888612916535
168,-4.9378533909411
169,-3.7935581719645795
170,-4.96320137146617
171,-4.517964058451981
172,-4.3384273071854045
173,-4.026218210248438
174,-4.112898156758131
175,-3.973505239495371
176,-4.016633380787741
177,-5.175449919140949
178,-4.140486433606595
179,-4.080195978056121
180,-4.954158643527633
181,-4.53371583450153
182,-4.492567549952827
183,-3.766410178760208
184,-4.5371887767457695
185,-4.670563960190687
186,-3.241487028675293
187,-3.935292581669847
188,-4.557258030592251
189,-5.794346876069608
190,-3.6025444793290147
191,-6.16272517105191
192,-4.188603853347513
193,-3.3031244644190125
194,-3.389305269628757
195,-3.7457920053324854
196,-5.064371389327235
197,-5.126904335523099
198,-2.8444309790036924
199,-3.679733552021517
200,-4.172293655011593
201,-5.013334380643395
202,-5.431283707620998
203,-3.98116723104226
204,-3.76633555345279
205,-4.398535536797537
206,-4.57043738920134
207,-3.641385528089632
208,-3.972391955047338
209,-2.9332135716432237
210,-4.362686570169686
211,-4.356466156426757
212,-4.324908388578985
213,-3.797840688160932
214,-4.351840372223178
215,-3.866163730721432
216,-3.8010349890448496
217,-4.447708531691182
218,-4.101736589497516
219,-4.901065042756299
220,-3.8057487519159983
221,-3.1040143065252894
222,-3.6959363580631184
223,-4.978071979795912
224,-3.610568073448627
225,-4.894574322368805
226,-3.0298128005524636
227,-4.953894461760339
228,-4.681199576617958
229,-4.0132239255747155
230,-4.233395871173733
231,-3.291753681559099
232,-3.4065783992662793
233,-3.7574353467527137
234,-3.1301013567306537
235,-3.1053858786159414
236,-4.285105153977342
237,-3.17637250929889
238,-3.0990286082909027
239,-3.6083207610153267
240,-4.852298014359601
241,-4.597730127394851
242,-4.8791815091797135
243,-3.3840992762490893
244,-3.7219229861219496
245,-4.098658887040216
246,-4.2704101245630675
247,-3.643086972941312
248,-4.590989723045091
249,-3.6720904216995467
250,-3.0400730464064436
251,-3.7773929635846373
252,-2.565748180455114
253,-4.284852478641783
254,-5.591008953809225
255,-4.502237725370241
256,-3.2805403773034274
257,-4.9358429609009615
258,-3.7514378207830275
259,-4.166813600192717
260,-5.074524387877483
261,-4.45529675007117
262,-3.3949226864120177
263,-4.8484711090827535
